gene_id	transcript_id(s)	Control-1A	Control-2A	Control-3A	NB29-1A	NB29-2A	NB29-3A
HORVU.RGT_PLANET.PROJ.2HG00176050	transcript14870	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00176070	transcript14872	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00176080	transcript14873	0.00	0.00	0.00	0.00	0.00	0.05
HORVU.RGT_PLANET.PROJ.2HG00176090	transcript14874	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00176100	transcript14875	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00176130	transcript14879	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00176150	transcript14881	0.00	0.00	0.39	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00176160	transcript14883	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00176170	transcript14884	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00176230	transcript14886	0.07	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00176250	transcript14887	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00176330	transcript14897	0.03	0.02	0.05	0.06	0.02	0.01
HORVU.RGT_PLANET.PROJ.2HG00176400	transcript14902	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00176410	transcript14903	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00176420	transcript14904	0.62	1.76	1.93	0.22	0.23	0.30
HORVU.RGT_PLANET.PROJ.2HG00176440	transcript14906	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00176470	transcript14907	0.46	3.25	0.27	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00176480	transcript14908	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00176490	transcript14909	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00176580	transcript14920	3.06	1.84	1.59	1.95	1.93	2.06
HORVU.RGT_PLANET.PROJ.2HG00176610	transcript14922	0.70	0.40	0.87	0.00	0.00	0.17
HORVU.RGT_PLANET.PROJ.2HG00176630	transcript14923	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00176660	transcript14926	1.40	0.37	0.79	0.81	0.31	0.52
HORVU.RGT_PLANET.PROJ.2HG00176670	transcript14927	0.83	0.44	0.64	0.42	0.25	0.21
HORVU.RGT_PLANET.PROJ.2HG00176680	transcript14928	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00176690	transcript14930	0.00	0.00	0.00	0.08	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00176700	transcript14931	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00176710	transcript14932	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00176740	transcript14935	0.00	0.00	0.00	0.03	0.00	0.11
HORVU.RGT_PLANET.PROJ.2HG00176760	transcript14937	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00176780	transcript14939	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00176790	transcript14940	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00176810	transcript14943	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00176840	transcript14945	1.56	1.26	1.21	0.19	0.31	0.27
HORVU.RGT_PLANET.PROJ.2HG00176860	transcript14947	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00176920	transcript14948	0.02	0.06	0.03	0.75	0.93	0.79
HORVU.RGT_PLANET.PROJ.2HG00176930	transcript14949	3.70	2.09	0.96	0.00	0.04	0.04
HORVU.RGT_PLANET.PROJ.2HG00176940	transcript14950	0.92	1.80	2.73	2.21	1.40	7.86
HORVU.RGT_PLANET.PROJ.2HG00176970	transcript14951	0.15	0.26	0.38	0.00	0.15	0.14
HORVU.RGT_PLANET.PROJ.2HG00176990	transcript14953	0.50	0.51	0.66	0.06	0.07	0.00
HORVU.RGT_PLANET.PROJ.2HG00177050	transcript14958	2.07	2.86	5.68	1.64	1.50	2.78
HORVU.RGT_PLANET.PROJ.2HG00177070	transcript14959	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00177080	transcript14960	3.35	2.38	3.07	1.90	1.84	1.39
HORVU.RGT_PLANET.PROJ.2HG00177090	transcript14961	2.92	2.59	3.34	5.32	4.07	5.14
HORVU.RGT_PLANET.PROJ.2HG00177100	transcript14962	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00177180	transcript14968	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00177220	transcript14972	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00177260	transcript14975	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00177300	transcript14980	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00177320	transcript14982	0.09	0.16	0.09	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00177330	transcript14983	0.00	0.38	0.13	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00177340	transcript14984	0.50	1.33	0.50	0.00	0.00	0.03
HORVU.RGT_PLANET.PROJ.2HG00177350	transcript14985	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00177360	transcript14986	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00177380	transcript14988	0.18	0.00	0.09	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00177390	transcript14989	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00177440	transcript14992	0.00	0.00	0.00	0.00	0.00	0.06
HORVU.RGT_PLANET.PROJ.2HG00177450	transcript14994	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00177520	transcript15000	0.47	2.30	1.55	1.90	1.99	3.03
HORVU.RGT_PLANET.PROJ.2HG00177530	transcript15001	0.00	0.00	0.05	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00177540	transcript15002	0.00	0.00	0.00	0.00	0.00	0.02
HORVU.RGT_PLANET.PROJ.2HG00177550	transcript15003	0.00	0.00	0.00	0.00	0.15	0.00
HORVU.RGT_PLANET.PROJ.2HG00177600	transcript15007	0.00	0.00	0.00	5.85	6.49	9.83
HORVU.RGT_PLANET.PROJ.2HG00177610	transcript15008	0.00	0.00	0.00	2.95	2.85	4.54
HORVU.RGT_PLANET.PROJ.2HG00177650	transcript15011	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00177670	transcript15012	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00177680	transcript15013	0.77	0.16	0.92	2.94	3.55	2.05
HORVU.RGT_PLANET.PROJ.2HG00177770	transcript15019	0.02	0.00	0.00	0.16	0.13	0.31
HORVU.RGT_PLANET.PROJ.2HG00177790	transcript15020	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00177850	transcript15023	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00177860	transcript15024	0.20	0.04	0.10	0.09	0.03	0.03
HORVU.RGT_PLANET.PROJ.2HG00177870	transcript15025	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00177890	transcript15027	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00177900	transcript15028	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00177910	transcript15029	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00177920	transcript15030	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00177930	transcript15031	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00177990	transcript15035	0.00	0.00	0.00	0.00	0.06	0.00
HORVU.RGT_PLANET.PROJ.2HG00178010	transcript15036	0.03	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00178020	transcript15037	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00178060	transcript15040	0.08	0.16	0.48	0.24	0.11	0.13
HORVU.RGT_PLANET.PROJ.2HG00178070	transcript15041	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00178080	transcript15042	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00178090	transcript15043	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00178120	transcript15044	5.14	4.18	5.76	1.23	1.18	1.11
HORVU.RGT_PLANET.PROJ.2HG00178170	transcript15051	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00178230	transcript15057	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00178240	transcript15058	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00178290	transcript15064	1.22	0.09	0.16	1.00	2.27	1.25
HORVU.RGT_PLANET.PROJ.2HG00178300	transcript15065	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00178380	transcript15071	0.15	0.56	0.40	0.05	0.10	0.05
HORVU.RGT_PLANET.PROJ.2HG00178390	transcript15072	0.00	0.00	0.00	0.05	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00178400	transcript15073	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00178420	transcript15074	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00178460	transcript15075	0.00	0.02	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00178490	transcript15076	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00178500	transcript15077	0.00	0.00	0.00	0.10	0.15	0.18
HORVU.RGT_PLANET.PROJ.2HG00178510	transcript15078	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00178520	transcript15079	0.07	0.04	0.00	0.03	0.00	0.03
HORVU.RGT_PLANET.PROJ.2HG00178580	transcript15081	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00178610	transcript15082	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00178680	transcript15083	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00178690	transcript15084	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00178700	transcript15085	0.07	0.08	0.11	0.07	0.07	0.00
HORVU.RGT_PLANET.PROJ.2HG00178740	transcript15091	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00178750	transcript15092	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00178850	transcript15102	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00178890	transcript15104	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00179070	transcript15118	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00179090	transcript15119	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00179100	transcript15120	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00179150	transcript15126	0.48	0.33	0.86	0.00	0.09	0.28
HORVU.RGT_PLANET.PROJ.2HG00179200	transcript15130	13.83	7.68	7.23	2.04	1.63	1.34
HORVU.RGT_PLANET.PROJ.2HG00179210	transcript15131	0.05	0.05	0.21	0.14	0.12	0.14
HORVU.RGT_PLANET.PROJ.2HG00179220	transcript15132	1.88	0.55	0.54	0.69	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00179340	transcript15144	0.00	0.00	0.00	0.11	0.08	0.07
HORVU.RGT_PLANET.PROJ.2HG00179420	transcript15148	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00179440	transcript15149	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00179460	transcript15150	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00179470	transcript15151	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00179480	transcript15152	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00179500	transcript15155	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00179510	transcript15156	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00179530	transcript15159	0.00	0.00	0.00	0.01	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00179540	transcript15160	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00179570	transcript15161	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00179590	transcript15162	0.00	0.00	0.59	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00179600	transcript15163	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00179610	transcript15164	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00179620	transcript15165	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00179630	transcript15166	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00179670	transcript15168	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00179680	transcript15169	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00179690	transcript15170	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00179720	transcript15172	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00179730	transcript15173	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00179800	transcript15184	1.41	0.57	0.72	1.06	0.98	1.20
HORVU.RGT_PLANET.PROJ.2HG00179840	transcript15189	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00179850	transcript15190	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00179880	transcript15192	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00179900	transcript15193	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00179950	transcript15198	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00179960	transcript15199	0.00	0.05	0.19	0.31	0.28	0.49
HORVU.RGT_PLANET.PROJ.2HG00180000	transcript15201	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00180010	transcript15202	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00180020	transcript15203	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00180110	transcript15208	0.00	0.00	0.00	0.00	0.16	0.00
HORVU.RGT_PLANET.PROJ.2HG00180130	transcript15209	0.00	0.00	0.00	0.54	0.30	0.20
HORVU.RGT_PLANET.PROJ.2HG00180140	transcript15210	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00180170	transcript15213	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00180180	transcript15214	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00180250	transcript15220	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00180270	transcript15221	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00180330	transcript15227	0.00	0.00	0.00	0.03	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00180400	transcript15233	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00180420	transcript15234	0.30	0.14	0.36	1.18	0.59	1.15
HORVU.RGT_PLANET.PROJ.2HG00180430	transcript15235	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00180470	transcript15239	1.02	0.99	0.90	0.27	0.21	0.48
HORVU.RGT_PLANET.PROJ.2HG00180490	transcript15242	0.00	0.30	0.43	0.08	0.17	0.00
HORVU.RGT_PLANET.PROJ.2HG00180500	transcript15243	2.35	0.00	0.00	0.00	2.56	1.24
HORVU.RGT_PLANET.PROJ.2HG00180510	transcript15245	0.10	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00180530	transcript15247	0.00	0.07	0.00	0.05	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00180570	transcript15249	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00180600	transcript15253	0.04	0.00	0.00	0.26	0.83	0.54
HORVU.RGT_PLANET.PROJ.2HG00180670	transcript15263	0.00	0.00	0.00	0.31	0.37	0.89
HORVU.RGT_PLANET.PROJ.2HG00180680	transcript15264	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00180690	transcript15265	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00180710	transcript15267	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00180720	transcript15268	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00180730	transcript15269	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00180740	transcript15270	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00180750	transcript15272	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00180760	transcript15274	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00180800	transcript15276	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00180830	transcript15278	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00180840	transcript15279	0.00	0.00	0.07	0.39	0.38	0.47
HORVU.RGT_PLANET.PROJ.2HG00180850	transcript15280	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00180890	transcript15284	0.12	0.00	0.12	0.49	0.30	0.35
HORVU.RGT_PLANET.PROJ.2HG00180900	transcript15285	0.00	0.00	0.00	0.00	0.00	0.06
HORVU.RGT_PLANET.PROJ.2HG00180910	transcript15286	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00180990	transcript15289	0.77	0.48	0.49	0.20	0.28	0.00
HORVU.RGT_PLANET.PROJ.2HG00181000	transcript15290	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00181010	transcript15291	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00181030	transcript15293	0.00	0.00	0.00	0.00	0.02	0.04
HORVU.RGT_PLANET.PROJ.2HG00181080	transcript15297	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00181140	transcript15302	0.00	0.00	0.00	0.09	0.16	0.37
HORVU.RGT_PLANET.PROJ.2HG00181150	transcript15304	0.08	0.06	0.06	0.03	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00181220	transcript15308	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00181300	transcript15315	0.00	0.00	0.00	0.02	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00181360	transcript15320	0.00	0.00	0.07	0.00	0.07	0.07
HORVU.RGT_PLANET.PROJ.2HG00181380	transcript15323	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00181420	transcript15325	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00181430	transcript15326	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00181470	transcript15329	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00181490	transcript15331	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00181520	transcript15333	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00181560	transcript15337	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00181580	transcript15339	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00181640	transcript15344	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00181670	transcript15348	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00181710	transcript15353	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00181730	transcript15354	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00181750	transcript15355	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00181770	transcript15360	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00181790	transcript15362	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00181820	transcript15366	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00181850	transcript15368	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00181860	transcript15369	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00181870	transcript15370	1.21	0.73	1.76	0.42	0.44	0.80
HORVU.RGT_PLANET.PROJ.2HG00181920	transcript15375	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00181930	transcript15377	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00181950	transcript15381	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00181980	transcript15384	0.48	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00181990	transcript15385	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00182050	transcript15391	0.00	0.00	0.00	0.00	0.00	0.09
HORVU.RGT_PLANET.PROJ.2HG00182070	transcript15393	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00182080	transcript15394	0.15	0.07	0.18	0.00	0.03	0.03
HORVU.RGT_PLANET.PROJ.2HG00182090	transcript15395	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00182150	transcript15398	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00182160	transcript15399	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00182180	transcript15402	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00182250	transcript15411	0.00	0.00	0.00	0.00	0.07	0.19
HORVU.RGT_PLANET.PROJ.2HG00182260	transcript15412	0.02	0.06	0.22	0.00	0.01	0.02
HORVU.RGT_PLANET.PROJ.2HG00182300	transcript15419	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00182310	transcript15420,transcript15421	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00182320	transcript15422	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00182330	transcript15424	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00182370	transcript15427	0.20	0.12	0.25	0.00	0.05	0.63
HORVU.RGT_PLANET.PROJ.2HG00182410	transcript15430	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00182420	transcript15431	0.13	0.46	0.13	0.13	0.20	0.32
HORVU.RGT_PLANET.PROJ.2HG00182470	transcript15434	0.47	0.51	0.10	0.02	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00182490	transcript15435	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00182530	transcript15438	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00182580	transcript15443	0.00	0.00	4.55	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00182610	transcript15447	0.00	2.83	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00182660	transcript15451	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00182680	transcript15452	13.41	12.12	8.39	1.76	1.19	2.28
HORVU.RGT_PLANET.PROJ.2HG00182720	transcript15454	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00182730	transcript15455	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00182770	transcript15460	171.05	167.30	157.96	24.13	21.89	14.68
HORVU.RGT_PLANET.PROJ.2HG00182810	transcript15463	0.00	0.00	0.00	0.04	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00182820	transcript15464	0.00	0.00	0.00	0.05	0.11	0.00
HORVU.RGT_PLANET.PROJ.2HG00182830	transcript15465	0.43	0.29	0.32	0.32	0.45	0.63
HORVU.RGT_PLANET.PROJ.2HG00182840	transcript15466	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00182880	transcript15473	1.51	0.58	1.31	0.75	1.15	0.91
HORVU.RGT_PLANET.PROJ.2HG00182900	transcript15475	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.2HG00182960	transcript15479	0.22	0.13	0.38	1.52	1.72	0.73
HORVU.RGT_PLANET.PROJ.2HG00182980	transcript15482	0.00	0.00	0.00	0.00	0.00	0.00
